Titre original,Note spectateur,id allocine,Réalisateur,Nombre_de_notes_spectateurs,Nombre_de_critiques_spectateurs,Nombre_de_critiques_presse,budget,id,imdb_id,popularity,production_countries,release_date,revenue,vote_average,vote_count,mois_sortie,annee_sortie,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,duree_du_film,collection,Albania,Argentina,Australia,Austria,Bahamas,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Canada,Chile,China,Colombia,Cuba,Czech Republic,Denmark,Dominican Republic,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kenya,Lebanon,Lithuania,Luxembourg,Malawi,Malaysia,Malta,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Norway,Panama,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Senegal,Serbia,Singapore,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay
10 000 days,1.5,239331,Eric Small,32.0,7.0,,0.0,293082.0,tt3530690,14.611,United States of America,2014-11-23,0.0,2.8,15.0,11,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10 Cloverfield Lane,3.6,231144,Dan Trachtenberg,9408.0,735.0,20.0,15000000.0,333371.0,tt1179933,31.631,United States of America,2016-03-10,110216998.0,6.984,7466.0,3,2016,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10 Minutes Gone,1.5,266802,Brian A. Miller,170.0,23.0,,0.0,552865.0,tt8809652,31.173,United States of America,2019-09-30,332731.0,5.358,204.0,9,2019,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10 Years,2.3,189144,Jamie Linden,306.0,12.0,,0.0,58547.0,tt1715873,7.969,United States of America,2012-09-14,203373.0,5.8,510.0,9,2012,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100 Degrees Below Zero,1.2,221267,R.D. Braunstein,110.0,51.0,,500000.0,182228.0,tt2538128,9.323,United States of America,2013-03-29,0.0,4.438,113.0,3,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10x10,2.0,251534,Suzi Ewing,447.0,54.0,,0.0,505177.0,tt6210996,20.44,United Kingdom,2018-04-13,68260.0,5.243,510.0,4,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11-11-11,1.4,184901,Darren Lynn Bousman,191.0,50.0,,0.0,51248.0,tt1712159,6.772,United States of America,2011-11-11,6963872.0,4.573,220.0,11,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12 Rounds 3: Lockdown,2.1,230968,Stephen Reynolds,29.0,5.0,,0.0,351901.0,tt3957956,13.613,United States of America,2015-09-11,0.0,5.8,172.0,9,2015,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12 Strong,3.6,181056,Nicolai Fuglsig,1700.0,118.0,4.0,35000000.0,429351.0,tt1413492,47.36,United States of America,2018-01-18,67450815.0,6.284,2754.0,1,2018,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
127 Hours,3.9,174939,Danny Boyle,24194.0,1574.0,28.0,18000000.0,44115.0,tt1542344,30.398,"France, United Kingdom, United States of America",2010-11-12,35692920.0,7.076,7098.0,11,2010,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
13,2.3,139163,Gela Babluani,729.0,106.0,,0.0,44982.0,tt0798817,12.264,United States of America,2010-03-12,3317662.0,5.803,740.0,3,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
