Titre original,Note_presse,Note_spectateur,id_film_ac,Box office,budget,visa,date,duree
Nope,"4,1","3,1",263062,113 793 605,-,-,10 août 2022,2h 10min
Empire Of Light,"3,6","4,0",291817,292 523,-,158782,1 mars 2023,1h 56min
Babylon,"4,0","4,2",275675,13 513 117,-,157633,18 janvier 2023,3h 09min
The Menu,"2,8","3,3",271676,37 628 507,-,-,23 novembre 2022,1h 48min
The Fabelmans,"4,9","4,3",255726,12 105 220,-,158402,22 février 2023,2h 31min
Aftersun,"4,0","3,7",303803,133 921,-,158866,1 février 2023,1h 42min
X,"3,9","3,0",287667,10 393 078,-,-,2 novembre 2022,1h 45min
The Outfit,"3,6",--,290644,1 510 000,-,-,18 novembre 2022,1h 46min
Beast,"2,7","2,3",286816,29 376 440,-,-,24 août 2022,1h 33min
Violent Night,"3,0","3,3",281688,49 387 555,-,-,30 novembre 2022,1h 52min
The Whale,"3,2","4,1",289056,13 191 971,-,159017,8 mars 2023,1h 57min
Avatar: The Way of Water,"4,1","4,2",178014,680 398 659,-,-,14 décembre 2022,3h 12min
Im Westen nichts Neues,"4,1",--,182953,,-,-,28 octobre 2022,2h 28min
Where The Crawdads Sing,"2,6","4,0",285346,81 888 000,-,-,17 août 2022,2h 05min
Everything Everywhere All at Once,"3,9","3,5",270743,63 066 904,-,157598,31 août 2022,2h 19min
Fall,"3,2",--,305333,2 512 145,-,-,6 décembre 2022,1h 47min
Paradise City,"1,4",--,292846,,-,-,5 avril 2023,1h 32min
The Banshees Of Inisherin,"3,8","3,9",281293,7 192 857,-,158481,28 décembre 2022,1h 54min
Top Gun: Maverick,"3,7","4,3",186636,715 758 470,-,-,25 mai 2022,2h 11min
The Unbearable Weight Of Massive Talent,"3,1","3,0",279093,18 217 570,-,-,20 avril 2022,1h 48min
The Batman,"3,9","4,1",211012,365 035 121,-,-,2 mars 2022,2h 57min
Death on the Nile,"3,0","3,1",260812,43 574 499,-,153422,9 février 2022,2h 07min
Lightyear,"3,1","3,4",288842,115 498 750,-,-,22 juin 2022,1h 45min
Elvis,"3,8","4,1",228681,141 288 207,-,-,22 juin 2022,2h 39min
Bullet Train,"3,2","3,9",284846,101 268 222,-,-,3 août 2022,2h 07min
Master Gardener,"3,5","3,1",296091,39 233,-,159758,5 juillet 2023,1h 50min
Blood,"2,8",--,286787,,-,-,19 juillet 2023,1h 48min
Uncharted,"2,6","3,3",186437,144 986 000,-,-,16 février 2022,1h 56min
Amsterdam,"2,9","2,8",281087,13 930 241,-,-,1 novembre 2022,2h 14min
Tár,"4,2","3,6",291967,4 563 533,-,158534,25 janvier 2023,2h 38min
Puss in Boots: The Last Wish,"3,1","4,2",228395,182 633 600,-,-,7 décembre 2022,1h 42min
Fantastic Beasts: The Secrets Of Dumbledore,"2,9","3,1",228087,93 066 000,-,-,13 avril 2022,2h 22min
Catering Christmas,"2,0",--,324245,,-,-,1 décembre 2023,1h 26min
Pearl,"3,4",--,302679,6 634 520,-,-,15 août 2023,1h 43min
The Eternal Daughter,"3,5","2,6",289685,32 066,-,159222,22 mars 2023,1h 36min
A Man Called Otto,"2,6","3,7",259131,62 283 028,-,-,1 février 2023,2h 07min
Black Panther: Wakanda Forever,"2,9","3,1",263242,451 843 361,-,-,9 novembre 2022,2h 42min
A Christmas Spark,"2,6",--,307913,,-,-,11 décembre 2023,1h 30min
Moonfall,"2,3","2,0",248437,15 153 549,$ 136 000 000,-,9 février 2022,2h 00min
M3GAN,"3,0","2,8",266320,90 969 690,-,-,28 décembre 2022,1h 42min
Jurassic World: Dominion,"2,3","2,3",242492,369 493 000,-,-,8 juin 2022,2h 26min
Deep Water,"2,3","2,0",276098,,-,-,18 mars 2022,1h 55min
Prey,"3,6","3,5",288439,,-,-,5 août 2022,1h 39min
Luck,"3,3","3,3",254698,,-,-,5 août 2022,1h 37min
She Said,"3,6","3,8",264394,4 349 740,-,-,23 novembre 2022,2h 09min
Glass Onion: A Knives Out Mystery,"3,8","3,6",280185,13 280 000,-,-,23 décembre 2022,2h 19min
The Gray Man,"2,3","3,0",189549,,-,-,22 juillet 2022,2h 08min
Thor: Love And Thunder,"2,6","2,3",275207,339 962 296,-,-,13 juillet 2022,1h 59min
The Northman,"3,4","3,1",278182,33 041 000,-,-,11 mai 2022,2h 17min
Purple Hearts,"3,9",--,295206,,-,-,29 juillet 2022,2h 02min
Armageddon Time,"4,4","3,7",274315,395 579,-,-,9 novembre 2022,1h 55min
Doctor Strange in the Multiverse of Madness,"3,2","3,6",251390,411 062 441,-,-,4 mai 2022,2h 06min
The Woman King,"2,7","3,7",263074,54 006 888,-,-,28 septembre 2022,2h 15min
The Other Zoey,"2,7",--,299250,,-,-,20 octobre 2023,1h 26min
The Pale Blue Eye,"2,9","3,5",290724,,-,-,6 janvier 2023,2h 10min
Morbius,"2,3","2,3",260627,71 457 347,-,-,30 mars 2022,1h 45min
Terrifier 2,"3,1","2,6",285418,9 769 575,-,-,11 janvier 2023,2h 18min
Marlowe,"2,5","2,2",255214,2 560 000,-,-,15 février 2023,1h 50min
Smile,"3,2","3,1",304967,104 587 554,-,-,28 septembre 2022,1h 55min
The Bad Guys,"3,6","3,9",263272,95 488 000,-,-,6 avril 2022,1h 40min
Don't Worry Darling,"3,1","3,7",276064,44 260 372,-,-,21 septembre 2022,2h 03min
The Lost City,"2,7","2,4",287082,104 012 000,-,-,20 avril 2022,1h 52min
Three Thousand Years of Longing,"3,7","3,5",268966,2 876 000,60 M€,-,24 août 2022,1h 49min
Christmas Bedtime Stories,"2,8",--,322870,,-,-,15 novembre 2023,1h 24min
Teen Wolf: The Movie,"3,1",--,296688,,-,-,23 février 2023,2h 20min
Strange World,"3,2","2,6",263066,37 004 290,-,-,23 décembre 2022,1h 42min
Hotel For The Holidays,"2,9",--,310243,,-,-,14 novembre 2023,1h 24min
Black Adam,"2,1","2,8",253389,167 667 895,-,-,19 octobre 2022,2h 05min
Emancipation,"2,0","3,5",284509,,-,-,9 décembre 2022,2h 12min
Lamborghini: The Man Behind The Legend,"2,2",--,243993,,-,-,18 février 2023,1h 37min
Dead For A Dollar,"2,1",--,293881,,-,-,30 septembre 2023,1h 45min
Time for Him to Come Home for Christmas,"2,4",--,323147,,-,-,21 novembre 2023,1h 24min
Barbarian,"4,2","3,4",279104,38 923 375,-,-,26 octobre 2022,1h 43min
Turning Red,"3,7","3,5",263058,,-,-,11 mars 2022,1h 40min
Ambulance,"3,1","2,7",240617,19 199 045,-,-,23 mars 2022,2h 16min
The Good Nurse,"3,7",--,234057,,-,-,26 octobre 2022,2h 01min
Memory,"2,4",--,232918,5 492 665,-,-,29 juillet 2022,1h 54min
Troll,"2,3",--,286059,,-,-,1 décembre 2022,1h 41min
I'm Glad It's Christmas,"2,6",--,324244,,-,-,1 décembre 2023,1h 25min
Scream,"2,7","2,7",194073,80 905 289,-,-,12 janvier 2022,1h 55min
The Swimmers,"4,0",--,292214,,-,-,23 novembre 2022,2h 14min
My Southern Family Christmas,"2,7",--,323611,,-,-,8 décembre 2023,1h 24min
The Noel Diary,"2,8",--,286116,,-,-,24 novembre 2022,1h 39min
Bones and All,"3,2","3,3",273342,6 038 432,-,-,23 novembre 2022,2h 10min
Thirteen Lives,"3,2","4,1",282400,,-,-,5 août 2022,2h 27min
The Adam Project,"3,2","3,3",214404,,-,-,11 mars 2022,1h 46min
Guillermo Del Toro's Pinocchio,"4,2","4,1",207445,,-,-,9 décembre 2022,1h 57min
The Holiday Sitter,"2,7",--,323344,,-,-,29 novembre 2023,1h 24min
"Lyle, Lyle, Crocodile","2,6","3,2",251352,43 171 784,-,-,30 novembre 2022,1h 47min
The Christmas Farm,"2,4",--,304302,,-,-,1 décembre 2023,1h 26min
Ticket To Paradise,"2,6","2,6",290725,66 528 855,-,-,5 octobre 2022,1h 44min
Spirited,"2,8",--,277501,,-,-,18 novembre 2022,2h 07min
Cadejo blanco,"3,2","3,6",297001,4 482,-,159498,23 août 2023,2h 05min
Lady Chatterley's Lover,"3,1",--,284911,,-,-,2 décembre 2022,2h 06min
A Brush with Christmas,"2,5",--,324246,,-,-,1 décembre 2023,1h 23min
Murder at Yellowstone City,"2,3",--,304872,,-,-,29 décembre 2022,2h 06min
Orphan: First Kill,"2,6","2,5",287653,338 405,-,-,17 août 2022,1h 39min
Monster High,"2,1",--,290632,,-,-,11 février 2023,1h 20min
Blonde,"3,3","2,9",181923,,-,-,28 septembre 2022,2h 46min
Pinocchio,"2,2","2,0",236852,,-,-,8 septembre 2022,1h 51min
Christmas With The Campbells,"2,1",--,310379,,-,-,22 novembre 2023,1h 30min
Jolly Good Christmas,"2,8",--,321620,,-,-,8 novembre 2023,1h 30min
Blacklight,"2,3","1,9",292448,7 071 030,-,-,23 février 2022,1h 48min
Samaritan,"3,0","2,4",268772,,-,-,26 août 2022,1h 42min
No Exit,"2,5",--,259700,,-,-,25 février 2022,1h 35min
Falling For Christmas,"2,2",--,293024,,-,-,10 novembre 2022,1h 33min
The Wonder,"3,5","3,1",292502,,-,-,16 novembre 2022,1h 48min
After Ever Happy,"2,5",--,286244,,-,-,22 septembre 2022,1h 35min
We Wish You a Married Christmas,"2,6",--,322872,,-,-,17 novembre 2023,1h 24min
Showing Up,"3,7","3,0",289883,65 870,-,159495,3 mai 2023,1h 48min
Influencer,"2,7",--,309017,,-,-,6 septembre 2023,1h 32min
