id_allocine,Note de la critique,Date de publication,Critique
239331,"0,5",Publiée le 5 octobre 2015,"""10.000 days"" est à la base une série créée par Eric Small qui réalise lui-même le film où l'on retrouve les mêmes acteurs que dans le format d'origine. Je ne connais pas le rapport entre le deux, si le film est un résumé ou une simple partie de la série, en tout cas, ça expliquerait pas mal de choses. Je n'ai pas du tout aimé ce film, l'histoire est sans intérêt tout comme les dialogues, il ne se passe strictement rien, il n'y a aucun rythme, c'est terriblement ennuyeux. La grande majorité du film se passe en intérieur et quand ils sortent, on se tape des fonds verts avec des effets spéciaux médiocres, j'ai rien contre les nanars qui pourraient passer sur Syfy, mais celui-ci, c'était trop pour moi."
239331,"1,0",Publiée le 12 décembre 2015,"Les effets spéciaux bas de gamme mettent les acteurs dans des situations ridicules, l'histoire ne présente aucun intérêt."
239331,"1,0",Publiée le 10 janvier 2017,"10,000 somnifères. A peine ça commence qu'un gars nous raconte sa life passé. Par la suite et jusqu'à la fin cela parle, parle et parle avec peu d'action. Quand elle se pointe, c'est encore plus ridicule. Prenez votre pelle afin de dégager ce film catastrophe."
239331,"0,5",Publiée le 24 mai 2016,"""10 000 days"" est d'une nullité abyssale. Tout concourt à faire souffrir le spectateur: acteurs abominables, réalisation affreuse, effets spéciaux immondes, scénario ridicule. Il a beau être sortit en 2015, le long métrage ressemble plus à une série B du début des années 90. Et que dire de cette fin qui n'en est pas une? Vous l'aurez compris, il est inutile de perdre votre temps devant ce film qui ne mérite pas une seconde de votre attention. Comme direz Gandalf: ""Fuyez, pauvres fous !""."
239331,"1,5",Publiée le 1 janvier 2017,"Beaucoup de parlotes, pas d'action ni d'effets spéciaux, une histoire molle, tout cela est bien dommage car le casting est plutôt convaincant."
239331,"1,0",Publiée le 25 septembre 2015,BonjourLe film est bien mais alors une fin super nul sauf s'il existe une suite !!On a l'impression que le film s'arrete en plein milieu c'est n'importe quoi.
239331,"1,0",Publiée le 5 novembre 2015,"1h30 de perdu. Effet spéciaux à chier, pas de budget pour faire la fin le film s'arrête en plein milieu."
221267,"1,0",Publiée le 8 mai 2015,"Au-delà du nanar popularisé par The Asylum avec ""Sharnado"", ""100° Below Zero"" se situe dans la lignée des navets purs et durs. Ce film catastrophe réalisés avec peu de moyens (l'ère glaciaire arrive mais les acteurs jouent très mal le fait d'avoir froid, la caméra tremble pour simuler un tremblement de terre en faisant tomber un bout de décor au passage pour faire la blague) aurait pu être tout de même sympathique s'il avait pris la peine de ne pas se prendre au sérieux. Mais le ton est trop premier degré pour être totalement apprécié, l'intrigue reposant sur un scénario aux ficelles si grossières que c'en est honteux avec des personnages totalement caricaturaux. Noyé dans des teintes grisâtres assez moches, le film multiplie les péripéties dans le but de nous tenir en haleine mais ne maintient aucune tension, se montrant totalement plat."
221267,"0,5",Publiée le 7 avril 2015,"Encore un véritable navet catastrophique. Des situations débiles, des dialogues risibles, des acteurs ultra mauvais, un scénario nullissime et complètement à l'inverse du bon sens. De quoi rire pendant toute la durée du film tellement c'est pitoyable!!"
221267,"0,5",Publiée le 2 février 2015,"Effrayant et effarant de nullité.Des dialogues et des situations qui en deviennent risibles tellement c'est mauvaiset ne parlons pas des acteurs tout aussi ridicules.Le plus affligeant est de nous faire croire que certaines scènes ont été tournées à Paris et où l'on voit un couple d'acteurs déambulant dans une ville d'Europe de l'est qui ressemble à tout sauf Paris ?Bien entendu, on y a inséré 2-3 plans de la vraie ville de lumière pour un semblant de crédibilité mais on a encore du mal à y croire tellement tout est faux.Bref, on ne peut que se casser les dents si l'on souhaite faire un film catastrophe hollywoodien sans budget. Et on ne cesse de cacher la misère à chaque plan qui ne fait que nuire à la projection !Il existe une multitude de téléfilms catastrophes, certains restent très potables et regardables même si l'on est loin de l'excellence mais là, les situations sont tellement grotesques et ridicules que tout s'effondre.Et pourtant un bon film n'est jamais une histoire de budget. On pourrait, pourquoi pas, faire un excellente film racontant une catastrophe planétaire dans un 2 pièces cuisine si on a un scénario qui tient la route et les acteurs qu'il faut.On peut dire en tout cas que nous sommes ici en présence d'un authentique nanar car il ne faut vraiment pas être difficile pour apprécier !"
