Titre original,Note press,Notes spectateur,Critiques presse,Critiques spectateurs,id allocine,Box office,Budget,date,duree
Shutter Island,"3,8","4,4", 31 critiques, 80471 notes dont 4605 critiques,132039,127 770 000,80 000 000 $,24 février 2010,2h 17min
Inception,"4,1","4,5", 24 critiques, 110095 notes dont 7212 critiques,143692,290 948 208,160 000 000 $,21 juillet 2010,2h 28min
Harry Potter and the Deathly Hallows - Part 1,"3,2","4,0", 20 critiques, 52676 notes dont 2887 critiques,126693,291 377 000,150 000 000 $,24 novembre 2010,2h 26min
Prince of Persia: The Sands of Time,"2,6","3,1", 22 critiques, 26730 notes dont 2133 critiques,126678,89 981 000,200 000 000 $,26 mai 2010,2h 06min
The Book of Eli,"2,4","3,3", 20 critiques, 10503 notes dont 1144 critiques,128955,92 524 000,80 000 000 $,20 janvier 2010,1h 49min
Robin Hood,"3,4","3,2", 21 critiques, 26579 notes dont 2213 critiques,126127,104 516 000,200 000 000 $,15 février 2003,2h 20min
Scott Pilgrim vs. the World,"3,4","3,8", 17 critiques, 7227 notes dont 705 critiques,136370,30 438 315,60 000 000 dollars,1 décembre 2010,1h 52min
Nanny McPhee and The Big Bang,"2,5","2,8", 12 critiques, 1577 notes dont 161 critiques,140620,28 531 000,35 000 000 $,31 mars 2010,1h 49min
How to Train Your Dragon,"3,9","4,3", 20 critiques, 30334 notes dont 1875 critiques,123534,216 876 000,165 000 000 $,31 mars 2010,1h 33min
Black Swan,"4,2","4,2", 34 critiques, 49076 notes dont 3912 critiques,125828,105 928 217,"$17,000,000",9 février 2011,1h 43min
The Social Network,"4,4","4,0", 27 critiques, 37343 notes dont 2150 critiques,147912,94 077 470,40 000 000 $,13 octobre 2010,2h 00min
Tangled,"3,8","4,2", 24 critiques, 29121 notes dont 1409 critiques,135523,198 526 569,260 000 000 $,1 décembre 2010,1h 41min
Percy Jackson And The Lightning Thief,"2,5","2,6", 12 critiques, 20834 notes dont 1362 critiques,128105,86 103 000,95 000 000 $,10 février 2010,2h 02min
I Spit on Your Grave,,"3,5",, 2258 notes dont 397 critiques,183144,,"US$ 1,5 000 000",13 septembre 2011,1h 47min
Knight and Day,"2,9","3,0", 16 critiques, 17697 notes dont 1419 critiques,145368,74 844 000,117 000 000 $,28 juillet 2010,1h 40min
The Fighter,"3,9","4,1", 25 critiques, 8946 notes dont 906 critiques,126386,92 931 288,25 000 000 $,9 mars 2011,1h 53min
127 Hours,"3,2","3,9", 28 critiques, 24166 notes dont 1574 critiques,174939,16 845 896,18.000.000 $,23 février 2011,1h 34min
Alice in Wonderland,"3,5","3,3", 31 critiques, 49168 notes dont 3494 critiques,132663,333 627 878,"$200,000,000 ",15 février 2003,1h 48min
Blue Valentine,"3,6","3,7", 18 critiques, 4318 notes dont 438 critiques,131494,8 211 610,"$1,000,000",15 juin 2011,1h 54min
The Karate Kid,"3,1","3,4", 7 critiques, 7807 notes dont 879 critiques,140603,174 861 447,$40.000.000,18 août 2010,2h 20min
Eat Pray Love,"1,7","2,5", 12 critiques, 3336 notes dont 478 critiques,121807,79 720 000,60 000 000 $,22 septembre 2010,2h 20min
The Tourist,"1,6","2,2", 9 critiques, 6625 notes dont 762 critiques,138752,65 938 000,100 000 000 $,15 décembre 2010,1h 43min
Hereafter,"2,7","2,6", 29 critiques, 10028 notes dont 1673 critiques,140633,32 175 000,50 000 000 $,19 janvier 2011,2h 08min
Remember Me,"2,4","3,7", 14 critiques, 7723 notes dont 1242 critiques,145331,18 243 000,16 000 000 $,7 avril 2010,1h 53min
The Town,"3,5","3,9", 20 critiques, 17877 notes dont 1396 critiques,82376,90 626 556,37 000 000 $,15 septembre 2010,2h 03min
Love and Other Drugs,"2,2","3,1", 11 critiques, 5920 notes dont 621 critiques,147203,31 683 172,US$ 30 millhões,29 décembre 2010,1h 52min
Insidious,"3,2","3,5", 23 critiques, 9483 notes dont 1449 critiques,182603,52 432 623,1 500 000 $,15 juin 2011,1h 42min
The Losers,,"2,8",, 1209 notes dont 166 critiques,129368,22 760 516,25 000 000 $,16 novembre 2010,1h 37min
The Last Airbender,"1,9","2,1", 16 critiques, 8703 notes dont 1475 critiques,125433,128 971 020,150 000 000 $,28 juillet 2010,1h 43min
Legion,"1,7","1,7", 10 critiques, 3070 notes dont 551 critiques,134196,39 221 554,"26,000,000$",24 mars 2010,1h 40min
