Titre original,Note press,Notes spectateur,id allocine,Box office,date,duree_minutes,Nombre_de_critiques_presse,Nombre_de_notes_spectateurs,Nombre_de_critiques_spectateurs
Shutter Island,3.8,4.4,132039,127770000.0,2010-02-24,137.0,31.0,80471.0,4605.0
Inception,4.1,4.5,143692,290948208.0,2010-07-21,148.0,24.0,110095.0,7212.0
Harry Potter and the Deathly Hallows - Part 1,3.2,4.0,126693,291377000.0,2010-11-24,146.0,20.0,52676.0,2887.0
Prince of Persia: The Sands of Time,2.6,3.1,126678,89981000.0,2010-05-26,126.0,22.0,26730.0,2133.0
The Book of Eli,2.4,3.3,128955,92524000.0,2010-01-20,109.0,20.0,10503.0,1144.0
Robin Hood,3.4,3.2,126127,104516000.0,2003-02-15,140.0,21.0,26579.0,2213.0
Scott Pilgrim vs. the World,3.4,3.8,136370,30438315.0,2010-12-01,112.0,17.0,7227.0,705.0
Nanny McPhee and The Big Bang,2.5,2.8,140620,28531000.0,2010-03-31,109.0,12.0,1577.0,161.0
How to Train Your Dragon,3.9,4.3,123534,216876000.0,2010-03-31,93.0,20.0,30334.0,1875.0
Black Swan,4.2,4.2,125828,105928217.0,2011-02-09,103.0,34.0,49076.0,3912.0
The Social Network,4.4,4.0,147912,94077470.0,2010-10-13,120.0,27.0,37343.0,2150.0
Tangled,3.8,4.2,135523,198526569.0,2010-12-01,101.0,24.0,29121.0,1409.0
Percy Jackson And The Lightning Thief,2.5,2.6,128105,86103000.0,2010-02-10,122.0,12.0,20834.0,1362.0
I Spit on Your Grave,,3.5,183144,,2011-09-13,107.0,,2258.0,397.0
Knight and Day,2.9,3.0,145368,74844000.0,2010-07-28,100.0,16.0,17697.0,1419.0
The Fighter,3.9,4.1,126386,92931288.0,2011-03-09,113.0,25.0,8946.0,906.0
127 Hours,3.2,3.9,174939,16845896.0,2011-02-23,94.0,28.0,24166.0,1574.0
Alice in Wonderland,3.5,3.3,132663,333627878.0,2003-02-15,108.0,31.0,49168.0,3494.0
Blue Valentine,3.6,3.7,131494,8211610.0,2011-06-15,114.0,18.0,4318.0,438.0
The Karate Kid,3.1,3.4,140603,174861447.0,2010-08-18,140.0,7.0,7807.0,879.0
Eat Pray Love,1.7,2.5,121807,79720000.0,2010-09-22,140.0,12.0,3336.0,478.0
The Tourist,1.6,2.2,138752,65938000.0,2010-12-15,103.0,9.0,6625.0,762.0
Hereafter,2.7,2.6,140633,32175000.0,2011-01-19,128.0,29.0,10028.0,1673.0
Remember Me,2.4,3.7,145331,18243000.0,2010-04-07,113.0,14.0,7723.0,1242.0
The Town,3.5,3.9,82376,90626556.0,2010-09-15,123.0,20.0,17877.0,1396.0
Love and Other Drugs,2.2,3.1,147203,31683172.0,2010-12-29,112.0,11.0,5920.0,621.0
Insidious,3.2,3.5,182603,52432623.0,2011-06-15,102.0,23.0,9483.0,1449.0
The Losers,,2.8,129368,22760516.0,2010-11-16,97.0,,1209.0,166.0
The Last Airbender,1.9,2.1,125433,128971020.0,2010-07-28,103.0,16.0,8703.0,1475.0
Legion,1.7,1.7,134196,39221554.0,2010-03-24,100.0,10.0,3070.0,551.0
The Expendables,2.8,2.9,140458,102050000.0,2010-08-18,105.0,17.0,23540.0,2219.0
Faster,2.2,2.7,146402,22500498.0,2011-03-02,98.0,11.0,2052.0,278.0
Red,2.8,3.4,146229,89505187.0,2010-11-17,111.0,18.0,9907.0,993.0
The Way Back,3.1,3.8,140000,1465000.0,2011-01-26,133.0,23.0,5364.0,826.0
Diary of a Wimpy Kid,1.3,2.5,134533,63068000.0,2010-10-27,94.0,3.0,438.0,52.0
Did You Hear About The Morgans?,3.0,1.9,140335,28346423.0,2010-01-20,103.0,12.0,2038.0,327.0
The A-Team,3.2,3.2,133588,75207206.0,2010-06-16,114.0,16.0,18082.0,1462.0
TRON: Legacy,2.7,3.3,29233,169730000.0,2011-02-09,126.0,23.0,24671.0,2012.0
Kick-Ass,3.5,4.0,138730,47440000.0,2010-04-21,117.0,26.0,43492.0,3025.0
Toy Story 3,4.7,4.4,126123,413450000.0,2010-07-14,100.0,22.0,41533.0,2452.0
Clash of the Titans,2.9,2.3,127950,160965313.0,2010-04-07,106.0,14.0,26285.0,2523.0
Salt,2.7,2.9,130203,115218468.0,2010-08-25,101.0,17.0,18576.0,1561.0
Iron Man 2,3.1,3.4,136190,311417007.0,2010-04-28,124.0,20.0,49510.0,2681.0
Piranha 3D,3.5,2.6,109173,24389000.0,2010-09-01,89.0,22.0,7577.0,1507.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,2.7,3.0,127922,101814753.0,2010-12-08,115.0,16.0,8552.0,747.0
Never Let Me Go,3.1,3.4,144222,74594.0,2011-03-02,103.0,22.0,4119.0,502.0
Despicable Me,3.4,4.0,140623,249709000.0,2010-10-06,95.0,23.0,25976.0,1229.0
Shrek Forever After,3.2,3.2,57212,237230000.0,2010-06-30,93.0,19.0,21492.0,1328.0
Unstoppable,3.0,3.1,129345,80023247.0,2010-11-10,95.0,20.0,4983.0,731.0
True Grit,4.0,3.9,145213,170418000.0,2011-02-23,110.0,29.0,19345.0,1619.0
Frozen,,2.8,143952,,2011-10-13,94.0,,933.0,222.0
A Nightmare on Elm Street,1.5,2.2,133955,61701831.0,2010-05-12,95.0,14.0,4264.0,893.0
Legend Of The Guardians - The Owls of Ga'Hoole,3.1,3.7,135561,53990000.0,2010-10-27,99.0,19.0,3026.0,447.0
Grown Ups,1.4,2.7,103306,158054590.0,2010-09-08,102.0,5.0,2907.0,336.0
Somewhere,3.0,2.4,145724,467990.0,2011-01-05,98.0,26.0,4048.0,794.0
Megamind,3.1,3.5,127741,145400000.0,2010-12-15,95.0,21.0,5762.0,542.0
Tucker and Dale vs Evil,3.7,3.8,176961,136543.0,2012-02-01,88.0,19.0,4983.0,635.0
Burlesque,2.2,3.6,48749,37733561.0,2010-12-22,100.0,13.0,2225.0,381.0
Sex and the City 2,2.5,2.1,142555,94076942.0,2010-06-02,146.0,12.0,3584.0,696.0
Valentine's Day,2.5,2.5,143276,108943000.0,2010-02-17,123.0,13.0,7386.0,895.0
Predators,2.5,2.4,142987,51088000.0,2010-07-14,107.0,14.0,7383.0,1270.0
Unthinkable,,3.4,124740,,2010-10-19,97.0,,1572.0,258.0
Machete,3.4,3.5,129815,25736000.0,2010-12-01,105.0,19.0,8461.0,961.0
Wall Street: Money Never Sleeps,2.3,2.6,128600,51909000.0,2010-09-29,131.0,24.0,3641.0,496.0
The Next Three Days,2.9,3.7,147087,20376000.0,2010-12-08,133.0,21.0,3459.0,501.0
Saw 3D - The Final Chapter,1.5,2.4,170148,45287175.0,2010-11-10,87.0,4.0,4141.0,730.0
Dear John,3.5,3.5,127381,78533000.0,2010-03-31,105.0,2.0,3241.0,339.0
Dog Pound,3.5,4.1,137312,196749.0,2010-06-23,91.0,22.0,5807.0,868.0
Stone,1.9,1.5,145920,100826.0,2011-05-11,105.0,13.0,1591.0,305.0
The Twilight Saga: Eclipse,2.6,2.5,143994,299633864.0,2010-07-07,124.0,22.0,23861.0,1923.0
Devil,1.7,2.3,140302,33099560.0,2011-04-20,80.0,12.0,1730.0,283.0
Last Night,2.7,2.6,139326,324815.0,2011-02-16,92.0,17.0,3230.0,479.0
The Sorcerer's Apprentice,2.8,2.9,51407,60605526.0,2010-08-11,105.0,16.0,8653.0,1079.0
Takers,2.1,3.0,133340,56773203.0,2010-11-24,105.0,10.0,2245.0,311.0
Flipped,,3.9,147000,,2011-11-30,90.0,,599.0,48.0
Green Zone,3.8,3.6,129054,34236000.0,2010-04-14,115.0,28.0,8411.0,1105.0
Leap Year,2.1,3.2,139966,24723000.0,2010-08-11,100.0,7.0,1295.0,125.0
The Killer Inside Me,3.1,2.7,140586,141486.0,2010-08-11,120.0,22.0,2918.0,520.0
Winter's Bone,4.0,3.5,177805,4472000.0,2011-03-02,100.0,26.0,2426.0,368.0
Death at a Funeral,,2.4,142899,41463030.0,2010-10-06,90.0,,583.0,74.0
The Way,2.8,3.9,134076,130929.0,2013-09-25,128.0,12.0,727.0,111.0
Conviction,2.6,3.7,139611,6022823.0,2011-03-16,107.0,15.0,897.0,138.0
Trust,3.3,3.6,174066,80672.0,2012-01-18,106.0,18.0,2119.0,356.0
Gulliver's Travels,1.7,1.8,140472,40973767.0,2009-02-03,85.0,13.0,1832.0,280.0
All Good Things,,2.8,133805,,2011-11-22,120.0,,1413.0,150.0
How Do You Know,2.9,1.8,141694,28833657.0,2011-01-26,116.0,10.0,1347.0,227.0
Due Date,3.1,3.3,169922,99231922.0,2010-11-10,95.0,17.0,9195.0,990.0
Easy A,,3.4,145481,57249000.0,2011-06-15,92.0,,3546.0,266.0
Dinner For Schmucks,1.7,1.4,53738,69204372.0,2010-11-10,104.0,3.0,877.0,151.0
Repo Men,2.6,3.1,129518,13108000.0,2010-07-14,111.0,5.0,3355.0,502.0
Edge of Darkness,2.3,2.3,136018,42193000.0,2010-02-17,117.0,20.0,2639.0,485.0
The Experiment,,3.1,121780,,2011-01-11,96.0,,1338.0,200.0
13,,2.3,139163,,2013-07-31,91.0,,729.0,106.0
The Other Guys,3.3,2.5,144195,117693000.0,2010-10-27,107.0,18.0,5881.0,800.0
Let Me In,3.2,3.3,141529,11065000.0,2010-10-06,112.0,19.0,2387.0,465.0
Backlight,,2.2,224226,,2013-11-20,107.0,,204.0,47.0
Get Him to the Greek,3.2,2.8,135821,60743000.0,2010-09-01,109.0,11.0,1860.0,240.0
Date Night,3.1,2.6,138726,96860000.0,2010-05-12,88.0,18.0,4338.0,601.0
The Last Song,,3.7,145473,61240388.0,2010-11-03,103.0,,1922.0,180.0
Super,,3.4,172505,,2011-07-13,96.0,,1785.0,238.0
Temple Grandin,,4.1,139630,,2018-07-15,107.0,,185.0,20.0
The American,3.4,2.0,146714,34600000.0,2010-10-27,103.0,17.0,3420.0,762.0
The Crazies,2.4,2.7,136101,36409000.0,2010-06-09,101.0,17.0,2427.0,458.0
Skyline,1.5,1.5,183574,20950000.0,2010-12-15,93.0,4.0,4025.0,1088.0
Step Up 3-D,3.3,3.7,134514,39715304.0,2010-08-18,107.0,7.0,3089.0,419.0
The Back-Up Plan,2.2,2.4,141699,36526495.0,2010-05-19,107.0,5.0,2303.0,370.0
Life As We Know It,2.3,3.3,147914,51630962.0,2010-12-08,114.0,9.0,3605.0,346.0
Hot Tub Time Machine,2.2,2.6,141509,47623000.0,2010-10-06,99.0,5.0,876.0,133.0
Fair Game,2.8,3.1,144111,8920000.0,2010-11-03,108.0,22.0,1557.0,263.0
The Whistleblower,,3.9,146347,,2022-06-08,112.0,,288.0,48.0
The Wolfman,3.1,2.4,110815,61442000.0,2010-02-10,103.0,14.0,4189.0,786.0
She's Out of My League,2.6,2.7,132095,30122000.0,2010-06-23,104.0,7.0,1386.0,156.0
Meek's Cutoff,4.2,3.0,182539,55028.0,2011-06-22,104.0,19.0,590.0,114.0
Morning Glory,3.1,3.1,131841,30213000.0,2011-04-06,107.0,19.0,2915.0,380.0
Vampires Suck,1.6,1.6,182900,35865445.0,2010-11-24,82.0,11.0,2144.0,351.0
Cop Out,1.7,1.7,144180,42564000.0,2010-06-23,100.0,10.0,1964.0,368.0
Charlie St. Cloud,1.4,3.4,145329,30356000.0,2010-11-10,99.0,8.0,2114.0,244.0
Submarine,2.8,3.6,174643,49296.0,2011-07-20,107.0,14.0,1238.0,130.0
Kaboom,4.1,3.0,173662,182605.0,2010-10-06,86.0,23.0,4058.0,635.0
Tekken,,1.9,61044,,2010-09-23,87.0,,778.0,155.0
The Last Exorcism,2.9,1.7,179426,40870000.0,2010-09-15,87.0,18.0,2153.0,618.0
Womb,,3.4,143563,,2011-12-17,107.0,,158.0,16.0
Secretariat,,3.8,138660,57937000.0,2019-03-01,116.0,,194.0,19.0
The Debt,2.9,3.5,136044,30564766.0,2011-06-15,120.0,19.0,1771.0,243.0
50/50,3.1,3.9,139824,33859000.0,2011-11-16,100.0,16.0,2908.0,275.0
Mirrors 2,,1.8,171907,,2012-12-19,86.0,,258.0,37.0
Letters to Juliet,,3.4,146575,52493000.0,2011-02-09,105.0,,998.0,95.0
The Company Men,3.3,3.4,139453,810000.0,2011-03-30,112.0,21.0,2385.0,343.0
You don't know Jack,,3.9,169965,,2018-07-15,134.0,,325.0,48.0
16 Wishes,,2.7,183226,,2019-04-01,85.0,,270.0,24.0
The Runaways,3.6,3.7,141329,2987000.0,2010-09-15,106.0,20.0,2294.0,285.0
Little Fockers,2.3,2.6,126523,146542285.0,2010-12-22,105.0,13.0,4876.0,550.0
Resident Evil: Afterlife,1.3,2.1,137903,58866846.0,2010-09-22,100.0,6.0,6332.0,1132.0
The Conspirator,3.5,3.7,171560,10932000.0,2011-11-24,,2.0,419.0,69.0
The Kids Are All Right,3.0,3.1,148352,19181000.0,2010-10-06,104.0,20.0,1395.0,205.0
The Bounty Hunter,2.1,2.0,141502,65573295.0,2010-04-14,101.0,10.0,2278.0,248.0
Hop,2.1,2.5,145542,107823000.0,2011-07-06,95.0,15.0,1130.0,136.0
Greenberg,3.6,2.1,136381,3400874.0,2010-04-28,105.0,22.0,1047.0,201.0
Marmaduke,1.4,2.3,144405,30815126.0,2010-08-18,87.0,5.0,524.0,95.0
