Titre original,Note press,Notes spectateur,id allocine,Box office,date,duree_minutes,Nombre_de_critiques_presse,Nombre_de_notes_spectateurs,Nombre_de_critiques_spectateurs,mois_sortie_x,annee_sortie_x,titre_normalise,nom_du_realisateur_x,nom_du_realisateur_bis,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,mois_sortie_y,annee_sortie_y,nom_du_realisateur_y
10 000 days,,1.5,239331,,,91.0,,32.0,7.0,,,10000days,Eric Small,ericsmall,False,,,0.0,Science Fiction,,293082.0,tt3530690,en,"10,000 Days","10,000 Days ago, Comet 23 struck Earth with the magnitude of all the nuclear weapons in the world sending the planet into a deep freeze. Now, 27 years in the future, those who survived are locked in an epic battle of life or death.",9.384,/7dgmpcDatHjHndJpSZ9JNW2P0fi.jpg,Bahr Productions Inc.,United States of America,2014-11-23,0.0,91.0,English,Released,,"10,000 Days",False,2.8,15.0,11.0,2014.0,Eric Small
100 Degrees Below Zero,,1.2,221267,,2015-04-21,89.0,,110.0,51.0,4.0,2015.0,100degreesbelowzero,R.D. Braunstein,rdbraunstein,False,/wkhtdTSQKAIoOD7f6zD9BXGsr7f.jpg,,500000.0,"Action, Science Fiction",,182228.0,tt2538128,en,100 Degrees Below Zero,"After freak climate and weather events destroy the world around them, a group of rogue scientists attempt to reverse the deadly new ice age.",8.787,/1keE9oReldd7QmG8epHoY23jQXv.jpg,"The Asylum, Next Station Productions, The Institution",United States of America,2013-03-29,0.0,88.0,English,Released,Cold as Hell,100 Degrees Below Zero,False,4.4,112.0,3.0,2013.0,R.D. Braunstein
10 Cloverfield Lane,3.6,3.6,231144,67880730.0,2016-03-16,103.0,20.0,9399.0,735.0,3.0,2016.0,10cloverfieldlane,Dan Trachtenberg,dantrachtenberg,False,/5uLqjVQlKNR4MbOeuheaRihPxAx.jpg,,15000000.0,"Thriller, Science Fiction, Drama, Horror",http://www.10cloverfieldlane.com/,333371.0,tt1179933,en,10 Cloverfield Lane,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",41.39,/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg,Bad Robot,United States of America,2016-03-10,110216998.0,104.0,English,Released,Monsters come in many forms.,10 Cloverfield Lane,False,6.984,7456.0,3.0,2016.0,Dan Trachtenberg
10 Minutes Gone,,1.5,266802,,2020-01-10,96.0,,170.0,23.0,1.0,2020.0,10minutesgone,Brian A. Miller,brianamiller,False,/sbqm63cOAG5eB9WsUR1hY1zpkTH.jpg,,0.0,"Crime, Action, Thriller, Mystery",,552865.0,tt8809652,en,10 Minutes Gone,"Crime boss Rex hires Frank and his crew to steal a priceless jewel stash — but the job goes wrong when someone tips off the cops. After Frank suffers a blow to the head, he wakes up to find the jewels gone and no memory of his attacker. Now, Frank must confront his team members one by one to find the traitor — before Rex covers his tracks by having Frank murdered.",17.399,/i8lVYRplWdCEqYOutxpxeCtaD2a.jpg,"MoviePass Films, Potato Eater Productions, EFO Films, Grindstone Entertainment Group",United States of America,2019-09-30,332731.0,96.0,English,Released,Keep your enemies close,10 Minutes Gone,False,5.358,204.0,9.0,2019.0,Brian A. Miller
10x10,,2.0,251534,,2018-11-29,87.0,,447.0,54.0,11.0,2018.0,10x10,Suzi Ewing,suziewing,False,/9QWBstBOwv36cuv0hK4esNyFnvo.jpg,,0.0,Thriller,,505177.0,tt6210996,en,10 x 10,"Lewis is an outwardly ordinary guy, but in reality he is hiding an obsession – revenge – against Cathy. Lewis kidnaps Cathy in broad daylight and takes her to his home, where he locks her in a soundproof cell and attempts to extract a dark secret from her past.",17.202,/egMETBYual2JtfFGigXTA0tGkME.jpg,"Head Gear Films, Unstoppable Entertainment",United Kingdom,2018-04-13,68260.0,86.0,English,Released,There are some secrets we cannot escape,10x10,False,5.2,508.0,4.0,2018.0,Suzi Ewing
10 Years,,2.3,189144,,2017-06-02,97.0,,306.0,12.0,6.0,2017.0,10years,Jamie Linden,jamielinden,False,/m3i3asfpbMyIW7tGOfq9w7T0Q7F.jpg,,0.0,"Comedy, Drama",,58547.0,tt1715873,en,10 Years,A group of friends reunite ten years after their high-school graduation.,11.599,/1WjXdp4i2NR9RYGN0t0oy3tkGro.jpg,"Anchor Bay Films, Temple Hill Entertainment, Boss Media, 33andOut Productions, Iron Horse Entertainment",United States of America,2012-09-14,203373.0,100.0,English,Released,Who Got Fat? Who Didn't Change? Who Got Rich? Who Got Hot?,10 Years,False,5.8,510.0,9.0,2012.0,Jamie Linden
11-11-11,,1.4,184901,,2012-10-24,90.0,,191.0,50.0,10.0,2012.0,111111,Darren Lynn Bousman,darrenlynnbousman,False,/5Ok10XXtBYihm6BtzfZg4f55dVJ.jpg,,0.0,"Horror, Thriller",http://1111themovie.com/,51248.0,tt1712159,en,11-11-11,"After the death of his wife and child, an author travels to Barcelona to see his estranged brother and dying father, where he learns that his life is plagued by events that occur on 11/11/11.",9.593,/t6Wd9gY6e1yJVVXRtgICFqwieyu.jpg,"Capacity Pictures, Black Flag, Canonigo Films, Epic Pictures Group",United States of America,2011-11-11,6963872.0,90.0,"English, Español",Released,Mark the date. You can't stop what's coming.,11-11-11,False,4.573,220.0,11.0,2011.0,Darren Lynn Bousman
127 Hours,3.2,3.9,174939,16845896.0,2011-02-23,94.0,28.0,24166.0,1574.0,2.0,2011.0,127hours,Danny Boyle,dannyboyle,False,/viBWzktrBmhzRw4ehmUIrrN4C0z.jpg,,18000000.0,"Adventure, Drama, Thriller",,44115.0,tt1542344,en,127 Hours,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,39.625,/xbszsQv3ifdFZtQu8CzNh4zh0MX.jpg,"Fox Searchlight Pictures, Pathé, Everest Entertainment, HandMade Films, Film4 Productions, Cloud Eight Films, Dune Entertainment","France, United Kingdom, United States of America",2010-11-12,35692920.0,94.0,English,Released,There is no force more powerful than the will to live.,127 Hours,False,7.075,7087.0,11.0,2010.0,Danny Boyle
12 Mighty Orphans,,3.5,275746,3326335.0,2021-08-31,118.0,,87.0,10.0,8.0,2021.0,12mightyorphans,Ty Roberts,tyroberts,False,/7fJoKNpWocLAGbXm0gD02zd9Yj0.jpg,,0.0,"History, Drama, Action",http://12mightyorphans.com,625169.0,tt8482584,en,12 Mighty Orphans,"Haunted by his mysterious past, a devoted high school football coach leads a scrawny team of orphans to the state championship during the Great Depression and inspires a broken nation along the way.",34.656,/aIY2QF211NLB1AOjZPFImusCLI1.jpg,"Greenbelt Films, Santa Rita Film Co., Sony Pictures Classics",United States of America,2021-06-18,3615193.0,118.0,English,Released,Based on the true story of the team that inspired a nation.,12 Mighty Orphans,False,7.229,177.0,6.0,2021.0,Ty Roberts
12 Rounds 3: Lockdown,,2.1,230968,,2017-08-18,90.0,,29.0,5.0,8.0,2017.0,12rounds3lockdown,Stephen Reynolds,stephenreynolds,False,/xgZMrOPgZcy8FXFOSULoZYM6Ktd.jpg,12 Rounds Collection,0.0,"Action, Thriller, Crime",,351901.0,tt3957956,en,12 Rounds 3: Lockdown,"Lockdown Follows a police officer who returns to duty after recovering from a gun shot wound to discover incriminating evidence of illegal activities against those closest to him. He quickly finds himself trapped inside his own precinct, hunted and in search of the truth, as the crooked cops stop at nothing to recover the evidence.",15.765,/3wAIu7q72mINXVplVnU6pMbZmQQ.jpg,WWE Studios,United States of America,2015-09-11,0.0,90.0,English,Released,Twelve Rounds In the Clip. One Shot at Redemption.,12 Rounds 3: Lockdown,False,5.8,172.0,9.0,2015.0,Stephen Reynolds
